pop_idx,regime,rho,beta,N,T,sigma,jaccard,beta,alpha,epsilon,nr_pop,nr_ind
,partial,0.5,0.8,200.0,20.0,0.25,0.024010101010101963,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.024070707070708044,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.025343434343435476,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.023353535353536212,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.035212121212124026,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02059595959596031,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.025383838383839535,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.0283333333333349,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.021888888888889742,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.021090909090909795,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02039393939394002,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.026252525252526544,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.019424242424242875,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02078787878787941,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.024989898989900047,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.01774747474747503,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.0356666666666694,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.03174747474747691,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.03190909090909302,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.024595959595960615,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02306060606060693,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.027757575757577223,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02515151515151626,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.021282828282829017,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.026606060606062,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02059595959596023,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.01729292929292949,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.024424242424243434,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.022262626262627136,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.03543434343434623,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02345454545454639,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.018515151515151904,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.026444444444445776,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.025303030303031503,0.8,0.0,100,,
